2019/01/01;19:00:00;Singapore                       ;Low Volatility Expected         ;GDP                                                                                                             ;Worse Than Expected             ;% ;1.6;2.90;evised From 3.0
2019/02/22;7:00:00;United Kingdom                  ;Low Volatility Expected         ;CBI Distributive Trades Survey                                                                                  ;Worse Than Expected             ;;0;4.00;0.00
2019/02/22;7:00:00;Brazil                          ;Low Volatility Expected         ;FGV Consumer confidence                                                                                         ;;;96.1;;96.60
2019/02/22;7:30:00;India                           ;Low Volatility Expected         ;FX Reserves. USD                                                                                                ;;B  ;398.27;;398.12
2019/02/22;9:00:00;Russia                          ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;1.6;1.00;2.30
2019/02/22;9:15:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bostic Speaks                                                                                       ;;;;;
2019/02/22;9:30:00;Canada                          ;High Volatility Expected        ;Core Retail Sales                                                                                               ;In Line with Expectation        ;% ;-0.5;-0.50;evised From -0.6
2019/02/22;9:30:00;Canada                          ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Worse Than Expected             ;% ;-0.1;0.00;-0.90
2019/02/22;11:15:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Williams Speaks                                                                                     ;;;;;
2019/02/22;11:30:00;Euro Zone                       ;High Volatility Expected        ;ECB President Draghi Speaks                                                                                     ;;;;;
2019/02/22;12:00:00;United States                   ;High Volatility Expected        ;Fed Monetary Policy Report                                                                                      ;;;;;
2019/02/22;12:00:00;Canada                          ;Low Volatility Expected         ;Budget Balance                                                                                                  ;;B  ;2.45;;-2.22
2019/02/22;12:00:00;Canada                          ;Low Volatility Expected         ;Budget Balance                                                                                                  ;;B  ;0.32;;-2.13
2019/02/22;13:00:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Clarida Speaks                                                                                      ;;;;;
2019/02/22;14:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Oil Rig Count                                                                                 ;;;853;;857.00
2019/02/22;14:00:00;United States                   ;Moderate Volatility Expected    ;U.S. Baker Hughes Total Rig Count                                                                               ;;;1.047;;1.05
2019/02/22;14:30:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Bullard Speaks                                                                                      ;;;;;
2019/02/22;14:30:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Harker Speaks                                                                                       ;;;;;
2019/02/22;14:30:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Quarles Speaks                                                                                      ;;;;;
2019/02/22;16:30:00;United Kingdom                  ;Moderate Volatility Expected    ;CFTC GBP speculative net positions                                                                              ;;K  ;-33.7;;-52.10
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Aluminium speculative net positions                                                                        ;;K  ;-52;;-41.00
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Copper speculative net positions                                                                           ;;K  ;-6.1;;-24.50
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Corn speculative net positions                                                                             ;;K  ;128.2;;148.00
2019/02/22;16:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Crude Oil speculative net positions                                                                        ;;K  ;321.6;;334.90
2019/02/22;16:30:00;United States                   ;Moderate Volatility Expected    ;CFTC Gold speculative net positions                                                                             ;;K  ;109.1;;74.50
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Natural Gas speculative net positions                                                                      ;;K  ;3.2;;17.90
2019/02/22;16:30:00;United States                   ;Moderate Volatility Expected    ;"CFTC S&amp;P 500 speculative net positions                                                                      ";;K  ;-116.2;;-4.60
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Silver speculative net positions                                                                           ;;K  ;57.1;;48.20
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Soybeans speculative net positions                                                                         ;;K  ;6.9;;-11.80
2019/02/22;16:30:00;United States                   ;Low Volatility Expected         ;CFTC Wheat speculative net positions                                                                            ;;K  ;18.4;;19.20
2019/02/22;16:30:00;Canada                          ;Low Volatility Expected         ;CFTC CAD speculative net positions                                                                              ;;K  ;-42;;-56.10
2019/02/22;16:30:00;Switzerland                     ;Low Volatility Expected         ;CFTC CHF speculative net positions                                                                              ;;K  ;-18.1;;-16.40
2019/02/22;16:30:00;Australia                       ;Moderate Volatility Expected    ;CFTC AUD speculative net positions                                                                              ;;K  ;-35.6;;-36.10
2019/02/22;16:30:00;Brazil                          ;Moderate Volatility Expected    ;CFTC BRL speculative net positions                                                                              ;;K  ;2.8;;0.00
2019/02/22;16:30:00;Japan                           ;Moderate Volatility Expected    ;CFTC JPY speculative net positions                                                                              ;;K  ;-31.4;;-39.70
2019/02/22;16:30:00;New Zealand                     ;Low Volatility Expected         ;CFTC NZD speculative net positions                                                                              ;;K  ;0.5;;-4.60
2019/02/22;16:30:00;Russia                          ;Moderate Volatility Expected    ;CFTC RUB speculative positions                                                                                  ;;K  ;15.6;;5.90
2019/02/22;16:30:00;Euro Zone                       ;Moderate Volatility Expected    ;CFTC EUR speculative net positions                                                                              ;;K  ;-52;;-41.00
2019/02/22;18:30:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Williams Speaks                                                                                     ;;;;;
2019/02/24;17:45:00;New Zealand                     ;Moderate Volatility Expected    ;Core Retail Sales                                                                                               ;Better Than Expected            ;% ;2;0.80;evised From 0.4
2019/02/24;17:45:00;New Zealand                     ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Better Than Expected            ;% ;1.7;0.50;0.00
2019/02/24;17:45:00;New Zealand                     ;Low Volatility Expected         ;Retail Sales Quarterly Vs. Year Ago                                                                             ;;% ;3.5;;2.70
2019/02/24;19:50:00;Japan                           ;Low Volatility Expected         ;Corporate Services Price Index (CSPI)                                                                           ;In Line with Expectation        ;% ;1.1;1.10;1.10
2019/02/25;1:00:00;Japan                           ;Low Volatility Expected         ;Leading Index                                                                                                   ;Worse Than Expected             ;;97.5;97.90;"evised From 97.9>99.1                             """
2019/02/25;1:00:00;Singapore                       ;Moderate Volatility Expected    ;CPI                                                                                                             ;Worse Than Expected             ;% ;0.4;0.60;0.50
2019/02/25;2:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Investing.com GBP/USD Index                                                                                     ;;% ;39.3;;43.20
2019/02/25;2:30:00;United States                   ;Moderate Volatility Expected    ;Investing.com Gold Index                                                                                        ;;% ;65.3;;56.00
2019/02/25;2:30:00;United States                   ;Moderate Volatility Expected    ;"Investing.com S&amp;P 500 Index                                                                                 ";;% ;19.3;;29.40
2019/02/25;2:30:00;Canada                          ;Moderate Volatility Expected    ;Investing.com USD/CAD Index                                                                                     ;;% ;62;;63.00
2019/02/25;2:30:00;Switzerland                     ;Moderate Volatility Expected    ;Investing.com USD/CHF Index                                                                                     ;;% ;44.4;;44.00
2019/02/25;2:30:00;Australia                       ;Moderate Volatility Expected    ;Investing.com AUD/USD Index                                                                                     ;;% ;45.6;;47.00
2019/02/25;2:30:00;Japan                           ;Moderate Volatility Expected    ;Investing.com USD/JPY Index                                                                                     ;;% ;54.8;;52.70
2019/02/25;2:30:00;New Zealand                     ;Moderate Volatility Expected    ;Investing.com NZD/USD Index                                                                                     ;;% ;49.6;;49.20
2019/02/25;2:30:00;Euro Zone                       ;Moderate Volatility Expected    ;Investing.com EUR/USD Index                                                                                     ;;% ;45.4;;47.60
2019/02/25;3:30:00;Switzerland                     ;Moderate Volatility Expected    ;Employment Level                                                                                                ;;M  ;5.068;;5.07
2019/02/25;4:00:00;Spain                           ;Low Volatility Expected         ;Spanish PPI                                                                                                     ;;% ;1.8;;evised From 1.6
2019/02/25;6:00:00;United Kingdom                  ;High Volatility Expected        ;BoE Gov Carney Speaks                                                                                           ;;;;;
2019/02/25;7:30:00;Brazil                          ;Moderate Volatility Expected    ;BCB Focus Market Readout                                                                                        ;;;;;
2019/02/25;9:30:00;United States                   ;Low Volatility Expected         ;Chicago Fed National Activity                                                                                   ;;;-0.43;;"evised From 0.27>0.05                             """
2019/02/25;9:30:00;Brazil                          ;Low Volatility Expected         ;Current Account (USD)                                                                                           ;Worse Than Expected             ;B  ;-6.55;-6.35;-0.82
2019/02/25;9:30:00;Brazil                          ;Low Volatility Expected         ;Foreign direct investment (USD)                                                                                 ;Better Than Expected            ;B  ;5.87;4.50;8.95
2019/02/25;10:00:00;France                          ;Low Volatility Expected         ;French 12-Month BTF Auction                                                                                     ;;% ;-0.517;;-0.50
2019/02/25;10:00:00;France                          ;Low Volatility Expected         ;French 3-Month BTF Auction                                                                                      ;;% ;-0.518;;-0.51
2019/02/25;10:00:00;France                          ;Low Volatility Expected         ;French 6-Month BTF Auction                                                                                      ;;% ;-0.523;;-0.50
2019/02/25;11:00:00;United States                   ;Low Volatility Expected         ;Wholesale Inventories                                                                                           ;Worse Than Expected             ;% ;1.1;0.30;0.30
2019/02/25;11:30:00;United States                   ;Low Volatility Expected         ;Dallas Fed Mfg Business Index                                                                                   ;Better Than Expected            ;;13.1;4.80;1.00
2019/02/25;12:00:00;United States                   ;Moderate Volatility Expected    ;FOMC Member Clarida Speaks                                                                                      ;;;;;
2019/02/25;12:30:00;United States                   ;Low Volatility Expected         ;3-Month Bill Auction                                                                                            ;;% ;2.405;;2.40
2019/02/25;12:30:00;United States                   ;Low Volatility Expected         ;6-Month Bill Auction                                                                                            ;;% ;2.455;;2.46
2019/02/25;14:00:00;United States                   ;Low Volatility Expected         ;2-Year Note Auction                                                                                             ;;% ;2.503;;2.60
2019/02/25;14:00:00;United States                   ;Low Volatility Expected         ;5-Year Note Auction                                                                                             ;;% ;2.489;;2.58
2019/02/25;17:00:00;South Korea                     ;Low Volatility Expected         ;Consumer Confidence                                                                                             ;;;100;;98.00
2019/02/26;1:00:00;Japan                           ;Low Volatility Expected         ;BoJ Core CPI                                                                                                    ;Worse Than Expected             ;% ;0.5;0.60;0.40
2019/02/26;1:00:00;Singapore                       ;Low Volatility Expected         ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;0.9;2.00;evised From -5.6
2019/02/26;1:00:00;Singapore                       ;Low Volatility Expected         ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;-3.1;-3.00;evised From 2.7
2019/02/26;3:00:00;Germany                         ;Moderate Volatility Expected    ;GfK German Consumer Climate                                                                                     ;In Line with Expectation        ;;10.8;10.80;10.80
2019/02/26;3:45:00;France                          ;Low Volatility Expected         ;French Consumer Confidence                                                                                      ;Better Than Expected            ;;95;92.00;"evised From 91>92                                 """
2019/02/26;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Exports                                                                                                         ;;% ;-0.4;;-5.80
2019/02/26;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Imports                                                                                                         ;;% ;-6;;-7.00
2019/02/26;4:30:00;Hong Kong                       ;Low Volatility Expected         ;Trade Balance                                                                                                   ;;B  ;-10.3;;-51.20
2019/02/26;6:00:00;United Kingdom                  ;High Volatility Expected        ;Inflation Report Hearings                                                                                       ;;;;;
2019/02/26;6:00:00;United Kingdom                  ;High Volatility Expected        ;U.K. Prime Minister May Speaks                                                                                  ;;;;;
2019/02/26;6:00:00;India                           ;Low Volatility Expected         ;Federal Fiscal Deficit                                                                                          ;;B  ;7708.45;;7.014.57                                           
2019/02/26;6:40:00;Germany                         ;Low Volatility Expected         ;German 2-Year Schatz Auction                                                                                    ;;% ;-0.54;;-0.58
2019/02/26;6:45:00;Italy                           ;Low Volatility Expected         ;Italian 6-Month BOT Auction                                                                                     ;;% ;-0.007;;-0.03
2019/02/26;9:30:00;United States                   ;Moderate Volatility Expected    ;Building Permits                                                                                                ;Better Than Expected            ;% ;0.3;-2.80;5.00
2019/02/26;9:30:00;United States                   ;High Volatility Expected        ;Building Permits                                                                                                ;Better Than Expected            ;M  ;1.326;1.29;1.32
2019/02/26;9:30:00;United States                   ;Moderate Volatility Expected    ;Housing Starts                                                                                                  ;Worse Than Expected             ;% ;-11.2;-0.50;evised From 3.2
2019/02/26;9:30:00;United States                   ;Moderate Volatility Expected    ;Housing Starts                                                                                                  ;Worse Than Expected             ;M  ;1.078;1.25;"evised From 1.256M>1.214                          """
2019/02/26;9:30:00;Canada                          ;Low Volatility Expected         ;Corporate Profits                                                                                               ;;% ;-3.9;;3.90
2019/02/26;9:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;5.2;;5.40
2019/02/26;9:55:00;United States                   ;Low Volatility Expected         ;Redbook                                                                                                         ;;% ;-1.4;;-1.50
2019/02/26;10:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;;% ;5.6;;5.80
2019/02/26;10:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;In Line with Expectation        ;% ;0.3;0.30;0.40
2019/02/26;10:00:00;United States                   ;Low Volatility Expected         ;House Price Index                                                                                               ;;;270.2;;"evised From 269.2>269.4                           """
2019/02/26;10:00:00;United States                   ;Low Volatility Expected         ;"S&amp;P/CS HPI Composite - 20 s.a.                                                                              ";Worse Than Expected             ;% ;0.2;0.30;0.30
2019/02/26;10:00:00;United States                   ;Moderate Volatility Expected    ;"S&amp;P/CS HPI Composite - 20 n.s.a.                                                                            ";Worse Than Expected             ;% ;4.2;4.90;evised From 4.7
2019/02/26;10:00:00;United States                   ;Low Volatility Expected         ;"S&amp;P/CS HPI Composite - 20 n.s.a.                                                                            ";;% ;-0.2;;-0.10
2019/02/26;10:30:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Mersch Speaks                                                                                         ";;;;;
2019/02/26;11:00:00;United States                   ;High Volatility Expected        ;CB Consumer Confidence                                                                                          ;Better Than Expected            ;;131.4;124.70;"evised From 120.2>121.7                           """
2019/02/26;11:00:00;United States                   ;High Volatility Expected        ;Fed Chair Powell Testifies                                                                                      ;;;;;
2019/02/26;11:00:00;United States                   ;Low Volatility Expected         ;Richmond Manufacturing Index                                                                                    ;Better Than Expected            ;;16;8.00;-2.00
2019/02/26;11:00:00;United States                   ;Low Volatility Expected         ;Richmond Manufacturing Shipments                                                                                ;;;12;;-8.00
2019/02/26;11:00:00;United States                   ;Low Volatility Expected         ;Richmond Services Index                                                                                         ;;;17;;6.00
2019/02/26;11:30:00;United States                   ;Low Volatility Expected         ;Dallas Fed Services Revenues                                                                                    ;;;19.2;;14.90
2019/02/26;11:30:00;United States                   ;Low Volatility Expected         ;Texas Services Sector Outlook                                                                                   ;;;2;;-4.80
2019/02/26;12:30:00;United States                   ;Low Volatility Expected         ;52-Week Bill Auction                                                                                            ;;% ;2.47;;2.52
2019/02/26;14:00:00;United States                   ;Low Volatility Expected         ;7-Year Note Auction                                                                                             ;;% ;2.538;;2.63
2019/02/26;17:00:00;South Korea                     ;Low Volatility Expected         ;Manufacturing BSI Index                                                                                         ;;;74;;67.00
2019/02/26;17:30:00;United States                   ;Moderate Volatility Expected    ;API Weekly Crude Oil Stock                                                                                      ;;M  ;-4.2;;1.26
2019/02/26;17:45:00;New Zealand                     ;Low Volatility Expected         ;Exports                                                                                                         ;Worse Than Expected             ;B  ;4.4;4.80;"evised From 5.48B>5.30                            """
2019/02/26;17:45:00;New Zealand                     ;Low Volatility Expected         ;Imports                                                                                                         ;Better Than Expected            ;B  ;5.32;5.00;"evised From 5.22B>5.28                            """
2019/02/26;17:45:00;New Zealand                     ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Worse Than Expected             ;M  ;-914;-300.00;"evised From 264M>12                               """
2019/02/26;17:45:00;New Zealand                     ;Moderate Volatility Expected    ;Trade Balance                                                                                                   ;Worse Than Expected             ;M  ;-6.36;-5.50;"evised From -5.860M>-6.110                        """
2019/02/26;20:00:00;United Kingdom                  ;Low Volatility Expected         ;BRC Shop Price Index                                                                                            ;Better Than Expected            ;% ;0.7;0.30;0.40
2019/02/26;20:30:00;Australia                       ;Moderate Volatility Expected    ;Construction Work Done                                                                                          ;Worse Than Expected             ;% ;-3.1;0.60;-2.80
2019/02/26;21:30:00;Japan                           ;Moderate Volatility Expected    ;BoJ Board Member Kataoka Speaks                                                                                 ;;;;;
2019/02/26;23:30:00;Hong Kong                       ;Low Volatility Expected         ;GDP                                                                                                             ;;% ;1.3;;2.90
2019/02/26;23:30:00;Hong Kong                       ;Low Volatility Expected         ;GDP                                                                                                             ;;% ;-0.3;;0.10
2019/02/27;4:30:00;Euro Zone                       ;Moderate Volatility Expected    ;"ECB&#39;s Coeure Speaks                                                                                         ";;;;;
2019/02/27;5:00:00;Italy                           ;Low Volatility Expected         ;Italian Business Confidence                                                                                     ;Better Than Expected            ;;101.7;101.40;"evised From 102.1>102.0                           """
2019/02/27;5:00:00;Italy                           ;Low Volatility Expected         ;Italian Consumer Confidence                                                                                     ;Worse Than Expected             ;;112.4;113.00;"evised From 114.0>113.9                           """
2019/02/27;5:00:00;Switzerland                     ;Low Volatility Expected         ;ZEW Expectations                                                                                                ;;;-16.6;;-44.00
2019/02/27;5:00:00;Euro Zone                       ;Low Volatility Expected         ;M3 Money Supply                                                                                                 ;Worse Than Expected             ;% ;3.8;4.00;4.10
2019/02/27;5:00:00;Euro Zone                       ;Low Volatility Expected         ;Private Sector Loans                                                                                            ;Worse Than Expected             ;% ;3.2;3.40;3.30
2019/02/27;5:30:00;United Kingdom                  ;Moderate Volatility Expected    ;Gross Mortgage Approvals                                                                                        ;Better Than Expected            ;K  ;40.6;38.50;"evised From 38.8K>39.4                            """
2019/02/27;6:00:00;Italy                           ;Low Volatility Expected         ;Italian Trade Balance Non-EU                                                                                    ;;B  ;-0.58;;4.28
2019/02/27;6:00:00;Germany                         ;Moderate Volatility Expected    ;German Buba President Weidmann Speaks                                                                           ;;;;;
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Business and Consumer Survey                                                                                    ;Better Than Expected            ;;106.1;106.00;"evised From 106.2>106.3                           """
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Business Climate                                                                                                ;Better Than Expected            ;;0.69;0.60;0.69
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Consumer Confidence                                                                                             ;In Line with Expectation        ;;-7.4;-7.40;"evised From -7.4>-7.9                             """
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Consumer Inflation Expectation                                                                                  ;;;18;;15.50
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Selling Price Expectations                                                                                      ;;;8.9;;"evised From 10.9>10.7                             """
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Services Sentiment                                                                                              ;Better Than Expected            ;;12.1;11.00;11.00
2019/02/27;6:00:00;Euro Zone                       ;Low Volatility Expected         ;Industrial Sentiment                                                                                            ;Worse Than Expected             ;;-0.4;0.10;"evised From 0.5>0.6                               """
2019/02/27;6:40:00;Germany                         ;Moderate Volatility Expected    ;German 10-Year Bund Auction                                                                                     ;;% ;0.12;;0.20
2019/02/27;6:45:00;Italy                           ;Moderate Volatility Expected    ;Italian 10-Year BTP Auction                                                                                     ;;% ;2.81;;2.60
2019/02/27;6:45:00;Italy                           ;Low Volatility Expected         ;Italian 5-Year BTP Auction                                                                                      ;;% ;1.59;;1.49
2019/02/27;7:00:00;France                          ;Moderate Volatility Expected    ;France Jobseekers Total                                                                                         ;;K  ;3414;;3.419.2                                            
2019/02/27;7:00:00;Brazil                          ;Low Volatility Expected         ;IGP-M Inflation Index                                                                                           ;Better Than Expected            ;% ;0.88;0.70;0.01
2019/02/27;7:15:00;Spain                           ;Low Volatility Expected         ;Spanish Business Confidence                                                                                     ;;;-4.9;;"evised From -4.1>-4.3                             """
2019/02/27;7:30:00;India                           ;Low Volatility Expected         ;M3 Money Supply                                                                                                 ;;% ;10.8;;10.40
2019/02/27;8:00:00;United States                   ;Low Volatility Expected         ;MBA 30-Year Mortgage Rate                                                                                       ;;% ;4.65;;4.66
2019/02/27;8:00:00;United States                   ;Low Volatility Expected         ;MBA Mortgage Applications                                                                                       ;;% ;5.3;;3.60
2019/02/27;8:00:00;United States                   ;Low Volatility Expected         ;MBA Purchase Index                                                                                              ;;;247;;232.70
2019/02/27;8:00:00;United States                   ;Low Volatility Expected         ;Mortgage Market Index                                                                                           ;;;384.8;;365.30
2019/02/27;8:00:00;United States                   ;Low Volatility Expected         ;Mortgage Refinance Index                                                                                        ;;;1133.8;;1.084.4                                            
2019/02/27;8:00:00;Brazil                          ;Moderate Volatility Expected    ;Unemployment Rate                                                                                               ;Worse Than Expected             ;% ;12;11.90;11.60
2019/02/27;9:30:00;United States                   ;Moderate Volatility Expected    ;Goods Trade Balance                                                                                             ;;B  ;-79.49;;-77.25
2019/02/27;9:30:00;Canada                          ;Low Volatility Expected         ;Common CPI                                                                                                      ;In Line with Expectation        ;% ;1.9;1.90;1.90
2019/02/27;9:30:00;Canada                          ;High Volatility Expected        ;Core CPI                                                                                                        ;;% ;0.3;;-0.20
2019/02/27;9:30:00;Canada                          ;Moderate Volatility Expected    ;Core CPI                                                                                                        ;;% ;1.5;;1.70
2019/02/27;9:30:00;Canada                          ;Low Volatility Expected         ;CPI                                                                                                             ;Worse Than Expected             ;% ;1.4;1.50;2.00
2019/02/27;9:30:00;Canada                          ;Moderate Volatility Expected    ;CPI                                                                                                             ;Worse Than Expected             ;% ;0.1;0.20;-0.10
2019/02/27;9:30:00;Canada                          ;Low Volatility Expected         ;Median CPI                                                                                                      ;In Line with Expectation        ;% ;1.8;1.80;1.80
2019/02/27;9:30:00;Canada                          ;Low Volatility Expected         ;Trimmed CPI                                                                                                     ;In Line with Expectation        ;% ;1.9;1.90;1.90
2019/02/27;9:30:00;Brazil                          ;Low Volatility Expected         ;Bank lending                                                                                                    ;;% ;-0.9;;evised From 1.8
2019/02/27;11:00:00;United States                   ;Moderate Volatility Expected    ;Cap Goods Ship Non Defense Ex Air                                                                               ;;% ;0;;0.50
2019/02/27;11:00:00;United States                   ;Moderate Volatility Expected    ;Factory Orders                                                                                                  ;Worse Than Expected             ;% ;0.1;1.50;evised From -0.6
2019/02/27;11:00:00;United States                   ;Low Volatility Expected         ;Factory orders ex transportation                                                                                ;;% ;-0.6;;-1.30
2019/02/27;11:00:00;United States                   ;High Volatility Expected        ;Fed Chair Powell Testifies                                                                                      ;;;;;
2019/02/27;11:00:00;United States                   ;High Volatility Expected        ;Pending Home Sales                                                                                              ;Better Than Expected            ;% ;4.6;0.80;evised From -2.2
2019/02/27;11:00:00;United States                   ;Low Volatility Expected         ;Pending Home Sales Index                                                                                        ;;;103.2;;"evised From 99.0>98.7                             """
2019/02/27;11:30:00;United States                   ;High Volatility Expected        ;Crude Oil Inventories                                                                                           ;Better Than Expected            ;M  ;-8.647;2.84;3.67
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;Crude Oil Imports                                                                                               ;;M  ;-1.357;;0.07
2019/02/27;11:30:00;United States                   ;Moderate Volatility Expected    ;Cushing Crude Oil Inventories                                                                                   ;;M  ;1.628;;3.41
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;Distillate Fuel Production                                                                                      ;;M  ;0.057;;-0.01
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;EIA Weekly Distillates Stocks                                                                                   ;Worse Than Expected             ;M  ;-0.304;-1.95;-1.52
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;Gasoline Production                                                                                             ;;M  ;0.064;;-0.13
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;Heating Oil Stockpiles                                                                                          ;;M  ;0.251;;-0.17
2019/02/27;11:30:00;United States                   ;Low Volatility Expected         ;Gasoline Inventories                                                                                            ;Better Than Expected            ;M  ;-1.906;-1.69;-1.45
2019/02/27;11:30:00;Brazil                          ;Low Volatility Expected         ;Foreign Exchange Flows                                                                                          ;;B  ;4.679;;6.63
2019/02/27;19:00:00;South Korea                     ;Low Volatility Expected         ;Industrial Production                                                                                           ;Better Than Expected            ;% ;0.5;0.20;evised From -1.4
2019/02/27;19:00:00;South Korea                     ;Low Volatility Expected         ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;0.1;1.00;evised From 1.6
2019/02/27;19:00:00;South Korea                     ;Low Volatility Expected         ;Retail Sales                                                                                                    ;;% ;0.2;;evised From 0.8
2019/02/27;19:00:00;South Korea                     ;Low Volatility Expected         ;Service Sector Output                                                                                           ;;% ;0.9;;-0.30
2019/02/27;19:50:00;Japan                           ;Low Volatility Expected         ;Foreign Bonds Buying                                                                                            ;;B  ;1014.9;;"evised From 193.7B>196.2                          """
2019/02/27;19:50:00;Japan                           ;Low Volatility Expected         ;Foreign Investments in Japanese Stocks                                                                          ;;B  ;-15.2;;"evised From -52.9B>-53.3                          """
2019/02/27;19:50:00;Japan                           ;Moderate Volatility Expected    ;Industrial Production                                                                                           ;Worse Than Expected             ;% ;-3.7;-2.40;-0.10
2019/02/27;19:50:00;Japan                           ;Low Volatility Expected         ;Industrial Production forecast 1m ahead                                                                         ;;% ;5;;-0.10
2019/02/27;19:50:00;Japan                           ;Low Volatility Expected         ;Industrial Production forecast 2m ahead                                                                         ;;% ;-1.6;;2.60
2019/02/27;19:50:00;Japan                           ;Moderate Volatility Expected    ;Retail Sales                                                                                                    ;Worse Than Expected             ;% ;0.6;1.40;1.30
2019/02/27;20:00:00;New Zealand                     ;Moderate Volatility Expected    ;ANZ Business Confidence                                                                                         ;;;-30.9;;-24.10
2019/02/27;20:00:00;New Zealand                     ;Low Volatility Expected         ;NBNZ Own Activity                                                                                               ;;% ;10.5;;13.60
2019/02/27;20:01:00;United Kingdom                  ;Low Volatility Expected         ;GfK Consumer Confidence                                                                                         ;Better Than Expected            ;;-13;-15.00;-14.00
2019/02/27;20:30:00;Australia                       ;Low Volatility Expected         ;Building Capital Expenditure                                                                                    ;;% ;3.2;;evised From -2.8
2019/02/27;20:30:00;Australia                       ;Low Volatility Expected         ;Housing Credit                                                                                                  ;;% ;0.2;;0.30
2019/02/27;20:30:00;Australia                       ;Low Volatility Expected         ;Plant/Machinery Capital Expenditure                                                                             ;;% ;0.7;;evised From 2.2
2019/02/27;20:30:00;Australia                       ;Moderate Volatility Expected    ;Private New Capital Expenditure                                                                                 ;Better Than Expected            ;% ;2;1.10;-0.50
2019/02/27;20:30:00;Australia                       ;Moderate Volatility Expected    ;Private Sector Credit                                                                                           ;Worse Than Expected             ;% ;0.2;0.30;0.20
2019/02/27;21:00:00;South Korea                     ;Low Volatility Expected         ;Interest Rate Decision                                                                                          ;In Line with Expectation        ;% ;1.75;1.75;1.75
2019/02/27;21:00:00;China                           ;High Volatility Expected        ;Manufacturing PMI                                                                                               ;Worse Than Expected             ;;49.2;49.50;49.50
2019/02/27;21:00:00;China                           ;Moderate Volatility Expected    ;Non-Manufacturing PMI                                                                                           ;Worse Than Expected             ;;54.3;54.50;54.70
2019/02/27;21:30:00;Japan                           ;Moderate Volatility Expected    ;BoJ Board Member Suzuki Speaks                                                                                  ;;;;;
